date,state,daily_partial,daily_full,daily_booster,daily_booster2,daily,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul
2021-03-15,Selangor,2520,0,0,0,2520,38742,59,0,0,38801
2021-03-15,Terengganu,820,0,0,0,820,15448,3,0,0,15451
2021-03-15,W.P. Kuala Lumpur,1732,0,0,0,1732,30508,9,0,0,30517
2021-03-15,W.P. Labuan,0,0,0,0,0,2388,2,0,0,2390
2021-03-15,W.P. Putrajaya,342,0,0,0,342,4173,0,0,0,4173
2021-03-16,Johor,1436,1,0,0,1437,26432,13,0,0,26445
2021-03-16,Kedah,2677,1,0,0,2678,23986,9,0,0,23994
2021-03-16,Kelantan,663,0,0,0,663,17175,3,0,0,17178
2021-03-16,Melaka,834,0,0,0,834,8957,1,0,0,8958
2021-03-16,Negeri Sembilan,1627,2,0,0,1629,14595,3,0,0,14598
2021-03-16,Pahang,408,0,0,0,408,26114,1,0,0,26115
2021-03-16,Perak,4746,0,0,0,4746,39227,4,0,0,39231
2021-03-16,Perlis,797,0,0,0,797,8079,2,0,0,8081
2021-03-16,Pulau Pinang,2039,0,0,0,2039,20995,5,0,0,21000
2021-03-16,Sabah,3600,1,0,0,3601,38098,23,0,0,38117
2021-03-16,Sarawak,538,2,0,0,540,31760,65,0,0,31825
2021-03-16,Selangor,3163,0,0,0,3163,41905,59,0,0,41964
2021-03-16,Terengganu,781,0,0,0,781,16229,3,0,0,16232
2021-03-16,W.P. Kuala Lumpur,1950,0,0,0,1950,32458,9,0,0,32467
2021-03-16,W.P. Labuan,0,0,0,0,0,2388,2,0,0,2390
2021-03-16,W.P. Putrajaya,218,0,0,0,218,4391,0,0,0,4391
2021-03-17,Johor,858,36,0,0,894,27290,49,0,0,27339
2021-03-17,Kedah,1639,0,0,0,1639,25625,9,0,0,25633
2021-03-17,Kelantan,1363,0,0,0,1363,18538,3,0,0,18541
2021-03-17,Melaka,798,0,0,0,798,9755,1,0,0,9756
2021-03-17,Negeri Sembilan,1470,0,0,0,1470,16065,3,0,0,16068
2021-03-17,Pahang,643,0,0,0,643,26757,1,0,0,26758
2021-03-17,Perak,2832,0,0,0,2832,42059,4,0,0,42063
2021-03-17,Perlis,794,0,0,0,794,8873,2,0,0,8875
2021-03-17,Pulau Pinang,1740,0,0,0,1740,22735,5,0,0,22740
2021-03-17,Sabah,2513,2,0,0,2515,40611,25,0,0,40632
2021-03-17,Sarawak,174,2,0,0,176,31934,67,0,0,32001
2021-03-17,Selangor,3928,0,0,0,3928,45833,59,0,0,45892
2021-03-17,Terengganu,1,1,0,0,2,16230,4,0,0,16234
2021-03-17,W.P. Kuala Lumpur,1836,7,0,0,1843,34294,16,0,0,34310
2021-03-17,W.P. Labuan,0,0,0,0,0,2388,2,0,0,2390
2021-03-17,W.P. Putrajaya,210,19,0,0,229,4601,19,0,0,4620
2021-03-18,Johor,1388,43,0,0,1431,28678,92,0,0,28770
2021-03-18,Kedah,459,0,0,0,459,26084,9,0,0,26092
2021-03-18,Kelantan,715,0,0,0,715,19253,3,0,0,19256
2021-03-18,Melaka,589,30,0,0,619,10344,31,0,0,10375
2021-03-18,Negeri Sembilan,1051,0,0,0,1051,17116,3,0,0,17119
2021-03-18,Pahang,909,120,0,0,1029,27666,121,0,0,27787
2021-03-18,Perak,2921,173,0,0,3094,44980,177,0,0,45157
2021-03-18,Perlis,723,1,0,0,724,9596,3,0,0,9599
2021-03-18,Pulau Pinang,1455,0,0,0,1455,24190,5,0,0,24195
2021-03-18,Sabah,2024,0,0,0,2024,42635,25,0,0,42656
2021-03-18,Sarawak,98,2,0,0,100,32032,69,0,0,32101
2021-03-18,Selangor,3616,41,0,0,3657,49449,100,0,0,49549
2021-03-18,Terengganu,0,0,0,0,0,16230,4,0,0,16234
2021-03-18,W.P. Kuala Lumpur,1359,331,0,0,1690,35653,347,0,0,36000
2021-03-18,W.P. Labuan,0,2,0,0,2,2388,4,0,0,2392
2021-03-18,W.P. Putrajaya,8,55,0,0,63,4609,74,0,0,4683
2021-03-19,Johor,18,0,0,0,18,28696,92,0,0,28788
2021-03-19,Kedah,300,6,0,0,306,26384,15,0,0,26398
2021-03-19,Kelantan,0,0,0,0,0,19253,3,0,0,19256
2021-03-19,Melaka,175,158,0,0,333,10519,189,0,0,10708
2021-03-19,Negeri Sembilan,275,0,0,0,275,17391,3,0,0,17394
2021-03-19,Pahang,1503,669,0,0,2172,29169,790,0,0,29959
2021-03-19,Perak,1939,313,0,0,2252,46919,490,0,0,47409
2021-03-19,Perlis,7,153,0,0,160,9603,156,0,0,9759
2021-03-19,Pulau Pinang,1519,332,0,0,1851,25709,337,0,0,26046
2021-03-19,Sabah,998,0,0,0,998,43633,25,0,0,43654
